Vari,Management,Group type,Group,n,mean,ci.lb,ci.ub
N runoff,Cover cropping,runoff,Primary data,,,,
N runoff,Combined fertilizer,runoff,Primary data,68,-21.93530674,-32.04,-11.83
N runoff,Enhanced efficiency,runoff,Primary data,43,-34.3225206,-57.59,-11.05
N runoff,No tillage,runoff,Primary data,63,-22.96148744,-53.38,7.46
N runoff,Organic fertilizer,runoff,Primary data,15,-36.73015887,-52.39,-21.07
N runoff,Residue retention,runoff,Primary data,,,,
N runoff,Fertilizer placement,runoff,Primary data,,,,
N runoff,Fertilizer rate,runoff,Primary data,76,-36.42915937,-51.63,-21.22
N runoff,Fertilizer timing,runoff,Primary data,42,-21.17743233,-35.33,-7.03
N runoff,Crop rotation,runoff,Primary data,,,,
N runoff,Reduced tillage,runoff,Primary data,,,,
N leaching,Biochar,leaching,Meta-analytical data,3,-17,-36.55410062,-10
N leaching,Cover cropping,leaching,Meta-analytical data,15,-55,-81,-30
N leaching,Combined fertilizer,leaching,Meta-analytical data,13,-18,-70.2397,55.8629
N leaching,Enhanced efficiency,leaching,Meta-analytical data,16,-33,-57.83133,24.49799
N leaching,No tillage,leaching,Meta-analytical data,2,5.3,-2.763157895,20.26315789
N leaching,Organic fertilizer,leaching,Meta-analytical data,5,-37,-56.5753,20.0045
N leaching,Residue retention,leaching,Meta-analytical data,3,-37,-62.0049,-14.9538
N leaching,Fertilizer placement,leaching,Meta-analytical data,,,,
N leaching,Fertilizer rate,leaching,Meta-analytical data,3,-41,-48.65822785,-35.21739
N leaching,Fertilizer timing,leaching,Meta-analytical data,1,-22,-22.2278481,-22.2278481
N leaching,Crop rotation,leaching,Meta-analytical data,,,,
N leaching,Reduced tillage,leaching,Meta-analytical data,,,,
N leaching,Biochar,leaching,Primary data,115,-18.89581168,-44.58,6.79
N leaching,Cover cropping,leaching,Primary data,632,-41.07588851,-57.72,-24.43
N leaching,Combined fertilizer,leaching,Primary data,51,-25.31981161,-41.9,-8.7
N leaching,Enhanced efficiency,leaching,Primary data,36,-27.70395945,-40.78,-14.63
N leaching,No tillage,leaching,Primary data,178,7.61305496,-7.37,22.6
N leaching,Organic fertilizer,leaching,Primary data,27,-51.73574513,-98.23,-5.24
N leaching,Residue retention,leaching,Primary data,97,-22.86745897,-35.82,-9.91
N leaching,Fertilizer placement,leaching,Primary data,,,,
N leaching,Fertilizer rate,leaching,Primary data,83,-37.5127068,-59.22,-15.8
N leaching,Fertilizer timing,leaching,Primary data,21,-35.86336981,-61.5,-10.23
N leaching,Crop rotation,leaching,Primary data,,,,
N leaching,Reduced tillage,leaching,Primary data,,,,
